,title,author,date_read,date_added,rating,num_pages,avg_rating,read_count,date_published,date_started,cover_url,user_id
56,Slouching Towards Bethlehem,Joan Didion,2023-02-21,2023-02-21,3.0,238.0,4.19,1,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611927558l/424._SX50_.jpg,142394620
57,Never Let Me Go,Kazuo Ishiguro,,2023-02-15,,288.0,3.84,0,2005-04-05,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353048590l/6334._SY75_.jpg,142394620
58,The Dead Zone,Stephen King,,2023-02-06,,402.0,3.96,0,1979-08-30,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1283509622l/11573._SY75_.jpg,142394620
59,The Creative Act: A Way of Being,Rick Rubin,,2023-02-05,,406.0,4.16,0,2023-01-17,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663707011l/60965426._SX50_.jpg,142394620
60,Rework,Jason Fried,,2023-02-03,,279.0,3.97,0,2010-11-02,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391275636l/6732019._SY75_.jpg,142394620
61,Being Mortal: Medicine and What Matters in the End,Atul Gawande,2023-04-22,2023-02-02,5.0,282.0,4.48,1,2014-10-07,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408324949l/20696006._SY75_.jpg,142394620
62,A Moveable Feast,Ernest Hemingway,,2023-02-02,,192.0,4.02,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427463201l/4631._SX50_.jpg,142394620
63,City of Thieves,David Benioff,2023-05-05,2023-02-02,4.0,258.0,4.29,1,2008-05-15,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392015757l/1971304._SY75_.jpg,142394620
64,Caste: The Origins of Our Discontents,Isabel Wilkerson,,2023-02-02,,496.0,4.54,0,2020-08-04,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597267568l/51152447._SY75_.jpg,142394620
65,"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,,2023-01-27,,832.0,4.16,0,1998-05-05,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925052l/16121._SY75_.jpg,142394620
66,Seeking Wisdom: From Darwin To Munger,Peter Bevelin,,2023-01-24,,318.0,4.23,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330087550l/1995421._SX50_.jpg,142394620
